CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,26,924","5,198","10,22,589",22.52,0.75,-0.95,"2,66,400",0.75,0.80,"2,800","18,000.00",50,482.95,485.65,250,-28.40,480.25,-,"9,153",-734,"1,028",
,"8,572",-145,"88,855",25.09,0.90,-0.55,"11,550",0.65,1.00,150,"18,050.00",450,501.20,537.10,50,-21.90,535.25,28.98,164,14,21,
,"23,612","-6,422","2,33,852",26.68,0.80,-0.50,"61,800",0.70,0.80,"1,000","18,100.00",450,554.40,597.90,450,-26.30,583.40,25.80,382,5,203,
,"4,788","-1,189","44,195",29.06,0.90,-0.35,250,0.65,0.90,"17,500","18,150.00",150,603.35,661.65,150,-29.65,621.80,-,129,66,71,
,"33,490","-6,085","1,83,884",29.54,0.60,-0.55,"28,700",0.60,0.70,"42,500","18,200.00",150,682.00,686.50,50,-26.75,677.75,-,241,1,56,
,"3,726",-956,"28,819",31.69,0.65,-0.45,100,0.65,0.90,"1,600","18,250.00",150,731.25,735.00,50,-53.00,715.00,-,4,1,3,
,"17,847","-30,842","2,10,483",32.92,0.55,-0.60,"1,550",0.55,0.60,700,"18,300.00",150,751.40,786.75,150,-20.10,783.30,33.01,7,-4,78,
,635,-386,"16,629",33.56,0.40,-0.70,"4,150",0.40,0.95,150,"18,350.00",150,831.35,837.55,"2,100",-,"1,096.40",-,-,-,3,
,"7,759","-1,331","58,942",35.31,0.40,-0.65,"81,050",0.35,0.40,"8,100","18,400.00",150,857.85,900.50,150,-,"1,090.00",-,-,-,5,
,722,-329,"13,923",37.05,0.40,-0.60,"2,900",0.40,0.60,"2,000","18,450.00",150,917.30,941.60,150,-,"1,277.55",-,-,-,2,
,"39,725","-21,182","2,65,877",39.69,0.50,-0.60,"2,600",0.45,0.50,"44,700","18,500.00",150,957.85,996.45,750,-28.35,979.90,-,247,208,236,
,688,353,"11,941",40.98,0.45,-0.55,"3,800",0.40,0.50,"1,250","18,550.00",150,"1,003.40","1,065.35",150,-,"1,080.00",-,-,-,3,
,"23,426","14,320","50,692",43.60,0.55,-0.45,"3,700",0.50,0.55,"16,150","18,600.00",150,"1,074.65","1,100.25",150,-273.75,"1,050.75",-,2,-,2,
,450,163,"11,079",43.88,0.40,-0.55,"1,200",0.40,1.05,100,"18,650.00",150,"1,113.50","1,149.65",150,-,-,-,-,-,-,
,"8,124",78,"39,289",44.30,0.30,-0.40,"23,200",0.30,0.35,"48,300","18,700.00",150,"1,163.40","1,195.40",150,-,-,-,-,-,-,
,268,30,"8,715",45.93,0.30,-0.55,"14,450",0.30,0.35,"1,000","18,750.00",150,"1,216.10","1,250.25",150,-,-,-,-,-,-,
,"5,916",57,"29,007",46.75,0.25,-0.45,"4,97,650",0.25,0.30,"56,000","18,800.00",150,"1,251.90","1,287.30",100,-,-,-,-,-,-,
,209,25,"3,652",49.16,0.30,-0.45,"1,500",0.30,0.35,150,"18,850.00",150,"1,299.75","1,340.45",150,-,-,-,-,-,-,
,"3,229",469,"13,669",50.76,0.30,-0.30,"4,75,450",0.25,0.30,"11,400","18,900.00",150,"1,350.95","1,402.95",150,-,-,-,-,-,-,
,104,-30,770,53.79,0.40,-0.20,"2,500",0.35,0.50,600,"18,950.00",150,"1,400.75","1,452.70",150,-,-,-,-,-,-,
,"49,150","5,471","1,05,138",52.01,0.20,-0.45,"4,47,250",0.20,0.25,"2,42,000","19,000.00","1,500","1,451.50","1,513.60","1,500",-,"1,510.20",-,-,-,4,
,90,-17,"1,476",55.51,0.30,-0.30,"1,100",0.30,0.65,"1,800","19,050.00","1,500","1,494.60","1,568.40","1,500",-,-,-,-,-,-,
,869,-146,"2,132",56.15,0.25,-0.35,"3,250",0.25,0.40,"5,250","19,100.00","1,500","1,547.20","1,619.85","1,500",-,-,-,-,-,-,
,73,-5,87,57.68,0.25,-0.40,150,0.25,0.75,"1,500","19,150.00","1,500","1,593.40","1,669.30","1,500",-,-,-,-,-,-,
,"1,342",-578,"2,118",60.19,0.30,-0.35,450,0.30,0.35,"3,250","19,200.00","1,500","1,648.40","1,718.60","1,500",-,-,-,-,-,-,
,53,-11,82,63.38,0.40,-0.15,"2,850",0.20,0.40,50,"19,250.00","1,500","1,694.20","1,768.80","1,500",-,-,-,-,-,-,
,603,-,493,63.26,0.30,-0.25,"1,550",0.25,0.35,"2,550","19,300.00","1,500","1,746.95","1,820.10","1,500",-,-,-,-,-,-,
,38,-,27,62.55,0.20,-0.30,"2,650",0.20,0.80,"1,500","19,350.00","1,500","1,794.10","1,867.40","1,500",-,-,-,-,-,-,
,643,-2,289,64.03,0.20,-0.35,"5,350",0.20,0.50,"4,600","19,400.00","1,500","1,847.60","1,919.30","1,500",-,-,-,-,-,-,
,106,-,8,69.62,0.40,-0.15,"1,500",0.25,0.65,"1,500","19,450.00","1,500","1,892.85","1,964.40","1,500",-,-,-,-,-,-,
,"12,978",-905,"32,001",69.34,0.30,-0.30,"25,100",0.25,0.35,"8,850","19,500.00",150,"1,947.60","2,019.80",50,-,"2,219.20",-,-,-,3,
,88,5,28,72.69,0.40,-0.35,"1,000",0.40,0.75,"1,500","19,550.00","1,500","1,994.55","2,064.75","1,500",-,-,-,-,-,-,
,154,-27,141,72.33,0.30,-0.30,"2,700",0.30,0.45,"1,350","19,600.00","1,500","2,043.80","2,114.75","1,500",-,-,-,-,-,-,
,46,1,4,72.66,0.25,-0.15,"2,850",0.25,0.70,150,"19,650.00","1,500","2,095.05","2,226.25","1,000",-,-,-,-,-,-,
,93,-9,42,75.30,0.30,-0.20,"3,150",0.30,0.50,"1,450","19,700.00","1,500","2,142.30","2,214.90","1,500",-,-,-,-,-,-,
,44,9,20,76.77,0.30,-0.25,900,0.30,0.90,300,"19,750.00","1,500","2,191.80","2,264.95","1,500",-,-,-,-,-,-,
,254,107,277,79.30,0.35,-0.25,"5,550",0.20,0.35,400,"19,800.00","1,500","2,242.00","2,314.20","1,500",-,-,-,-,-,-,
,87,43,202,80.78,0.35,-0.10,750,0.35,0.60,800,"19,850.00","1,500","2,280.00","2,372.75","1,800",-,-,-,-,-,-,
,98,-6,59,84.94,0.50,-0.05,"1,250",0.25,0.50,"1,800","19,900.00","1,500","2,329.90","2,422.30","1,800",-,-,-,-,-,-,
,70,-11,96,82.60,0.30,-0.20,"1,650",0.30,0.45,"1,500","19,950.00","1,500","2,379.85","2,473.00","1,800",-,-,-,-,-,-,
,"14,057","-4,074","19,384",84.05,0.30,-0.25,"97,950",0.30,0.35,"3,050","20,000.00","1,800","2,423.65","2,553.55","1,800",-,"2,745.50",-,-,-,11,
,142,90,172,85.48,0.30,-0.40,"2,750",0.30,0.65,50,"20,050.00","1,800","2,490.55","2,616.75","1,000",-534.00,"2,467.00",-,1,-,1,
,106,13,177,84.04,0.20,-0.30,"4,400",0.20,0.40,"3,000","20,100.00","4,550","2,318.90","2,623.75","1,800",-,-,-,-,-,-,
,116,-4,67,91.53,0.45,-0.05,550,0.40,0.45,550,"20,150.00","2,750","2,362.95","2,828.45","1,000",-,-,-,-,-,-,
,367,-5,286,86.81,0.20,-0.25,"8,350",0.20,0.40,"1,800","20,200.00","2,750","2,408.25","2,799.40","1,000",-,-,-,-,-,-,
,191,-49,72,96.96,0.60,0.20,850,0.30,0.60,150,"20,250.00","2,750","2,452.60","2,831.95","1,000",-,-,-,-,-,-,
,554,-72,449,94.91,0.40,-,"1,750",0.25,0.30,50,"20,300.00","1,800","2,738.55","2,904.25","1,000",-,"3,005.00",-,-,-,1,
,378,-55,193,93.99,0.30,-0.15,600,0.30,0.50,"2,750","20,350.00","2,750","2,560.05","2,930.95","1,000",-,-,-,-,-,-,
,"14,023","-4,231","14,772",92.28,0.20,-0.20,"82,400",0.15,0.20,"16,750","20,400.00","2,750","2,680.75","2,924.85","1,800",-,-,-,-,-,-,
